"source","medium","campaign","lcr"
telegram,cpp,dod-professions,100.00
vc,cpp,dod-frontend,30.00
vc,cpp,dod-professions,11.11
instagram,social,prof-qa-auto,11.11
telegram,cpp,dod-java,8.89
dzen,social,dzen_post,8.33
vk,cpp,dod-php,8.00
yandex,cpc,base-frontend,6.70
telegram,social,dod-professions,5.77
yandex,cpc,dod-php,4.96
vk,social,hexlet-blog,4.62
telegram,cpp,dod-frontend,4.55
vk,cpc,base-python,4.29
yandex,cpc,dod-java,3.95
vk,cpm,prof-data-analytics,3.70
telegram,cpp,base-java,3.50
yandex,cpc,base-professions-retarget,3.39
vk,cpc,freemium-frontend,3.39
vk,cpc,freemium-java,3.37
yandex,cpc,base-python,3.28
yandex,cpc,prof-frontend,3.26
yandex,cpc,prof-professions-retarget,3.20
telegram,cpp,prof-python,3.14
yandex,cpc,freemium,3.04
yandex,cpc,dod-python-java,3.03
vk,cpc,prof-data-analytics,2.97
yandex,cpc,dod-frontend,2.95
yandex,cpc,prof-professions-brand,2.89
yandex,cpc,prof-data-analytics,2.88
vk,cpc,freemium-python,2.84
vk,social,base-java,2.78
yandex,cpc,prof-java,2.75
yandex,cpc,prof-python,2.66
vk,cpc,prof-python,2.62
vk,cpc,prof-java,2.50
yandex,cpc,dod-professions,2.46
yandex,cpc,base-java,2.46
telegram,cpp,prof-java,2.40
telegram,cpp,prof-frontend,2.27
vk,social,prof-python,2.13
vk,cpc,prof-frontend,1.74
vk,social,all-courses,0.75
vk-senler,cpc,freemium,0.43
admitad,cpa,admitad,0.35
organic,organic,,0.34
bing.com,organic,,0.23
google,organic,,0.21
Yandex,cpc,"16951197",0.00
vk,social,kak-dzhunu-napisat-soprovoditelnoe-pis,0.00
telegram.me,social,vsyo--chto-nuzhno-znat--chtoby-spat-kachest,0.00
vc,cpp,dod-php,0.00
facebook.com,social,mozhno-li-ustroitsya-na-rabotu-posle-heks,0.00
vk,cpc,dod-professions,0.00
telegram,cpm,java,0.00
vk,cpc,frontend,0.00
twitter,social,webinars,0.00
vk,social,hexlet,0.00
vk-senler,cpc,base-python,0.00
vk,cpp,dod-professions,0.00
Yandex,cpc,"52168119",0.00
mytarget,cpc,freemium,0.00
instagram,social,prof-python,0.00
vk,cpc,python,0.00
telegram,cpp,intensive-python,0.00
yandex-direct,cpc,"16645437",0.00
telegram.me,social,kognitivnye-iskazheniya-v-programmirovanii,0.00
telegram,cpp,base-frontend,0.00
yandex-direct,cpc,"70989018",0.00
telegram,cpm,python,0.00
vkontakte,social,button-vk,0.00
telegram,social,my-znaem-dovolno-mnogo-o-strukturah-dan,0.00
zen_from_telegram,social,,0.00
Yandex,cpm,"14191988",0.00
yandex-direct,cpc,"97574364",0.00
yandex-direct,cpc,"96566756",0.00
vk,cpp,base-frontend,0.00
instagram,social,prof-fullstack,0.00
telegram,social,base-python,0.00
twitter,social,obuchenie-programmirovaniyu-v-30 -let-pod,0.00
vk,social,english-soft,0.00
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,0.00
twitter.com,social,buffer,0.00
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,0.00
telegram,cpp,prof-data-analytics,0.00
Yandex,cpc,"73043444",0.00
vk,cpp,dod-frontend,0.00
twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,0.00
partners,cpc,prof-python,0.00
instagram,social,base-pyton,0.00
partners,cpm,prof-data-analytics,0.00
rutube,social,all-courses,0.00
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,0.00
Yandex,cpc,"03997128",0.00
yandex-direct,cpc,"19183657",0.00
timepad,cpp,base-frontend,0.00
zen,social,prof-data-analyst,0.00
telegram,social,mdtruereshenie-zadach--horoshiy-sposob-z,0.00
telegram,social,mdtruena-hekslete-poyavilsya-esche-odin-no,0.00
facebook,social,course_completed,0.00
twitter,social,podrobno-rasskazyvaem--pochemu-pleysholde,0.00
telegram,social,promo,0.00
telegram,social,rabotay-bez-oglyadki-na-ogranicheniya-kak,0.00
telegram,social,u-nas-chasto-sprashivayut--kakie-knigi-nuzhn,0.00
vk,cpc,php,0.00
telegram,social,kak_gumanitariyu_popast-v_it,0.00
twitter,social,my-poprosili-nastavnikov-heksleta-rasska,0.00
vk,social,matematika-ilnar,0.00
instagram,social,promo,0.00
zen,social,hexlet-blog,0.00
vk,social,base-html,0.00
telegram,social,base-java,0.00
telegram,cpp,prof-qa,0.00
yandex-direct,cpc,"57063851",0.00
vk,cpp,dod-qa,0.00
vk-group,cpc,dod-qa,0.00
vk-senler,cpc,dod-frontend,0.00
vk,social,prof-frontend,0.00
facebook,cpc,freemium,0.00
telegram,cpm,base_java,0.00
vk,social,prof-qa,0.00
vk-senler,cpc,dod-professions,0.00
telegram,social,mdtruevyrazitelnyy-javascript--arh,0.00
telegram,social,mdtrue**razrabotchik-heksleta-andrey-m,0.00
telegram,cpp,dod-php,0.00
telegram,social,"20-sovetov-dlya-buduschih-programmistov--ko",0.00
yandex-direct,cpc,"18177858",0.00
telegram,cpm,base_python,0.00
telegram.me,social,kogda-to-ya-poobeschal-napisat-prodolzhenie,0.00
telegram,social,avtor-napisal-etu-zametku--kogda-odin-iz,0.00
facebook,social,vorchanie-dedushki-kak-ya-v-69-let-uchu-python,0.00
twitter,social,v-etoy-statie-my-dadim-neskolko-sovetov,0.00
telegram.me,social,lyubite-chitat-knigi--nash-marketolog-nata,0.00
telegram,social,zabluditsya-v-tryoh-sosnah--no-vyyti-k-zv,0.00
zen,social,zen_post,0.00
vk,cpc,freemium,0.00
instagram,social,base-java,0.00
social,youtube,chistie-funktsii,0.00
facebook,cpc,frontend,0.00
facebook,cpc,python,0.00
vk,social,base-python,0.00
facebook,social,my-sozdali-kurs-osnovy-redis-pro-rabot,0.00
telegram,social,kak-optimizirovat-tretiy-proekt-v-professii-python,0.00
Yandex,cpc,"06892634",0.00
telegram.me,social,pochemu-funktsiya-vozvraschaet-rezultat--p,0.00
telegram,social,igry--kotorye-pomogut-praktikovatsya-v-p,0.00
instagram,social,prof-data-analyst,0.00
mytarget,cpc,retarget,0.00
telegram,social,glavnye-instrumenty--servisy-i-podhody,0.00
vk,cpc,base,0.00
twitter,social,analitik-dannyh,0.00
facebook,cpm,freemium-en,0.00
vk,cpp,base-java,0.00
tproger,cpc,dod-frontend,0.00
telegram,social,base-frontend,0.00
telegram,social,all-courses,0.00
instagram,social,prof-php,0.00
vk,social,dod-frontend,0.00
instagram,social,base-frontend,0.00
Yandex,cpc,"42790821",0.00
yandex-direct,cpc,"26980930",0.00
instagram,social,prof-data-analytics,0.00
podcast,social,interview,0.00
tg,social,internship_summer23,0.00
Yandex,cpc,"02284027",0.00
zen,social,prof-python,0.00
telegram,social,prof-qa,0.00
telegram,social,course_completed,0.00
telegram,social,kak-blagodarya-heksletu-ya-ustroilsya-v-epa,0.00
partners,cpm,prof-qa,0.00
telegram,social,hexlet-blog,0.00
telegram,social,mdtrue*studenty-mnogih-onlayn-kursov-p,0.00
Yandex,cpc,"55670133",0.00
admitad,cpa,"442763",0.00
vk,social,unpack,0.00
facebook,social,learn-to-program-at-30,0.00
zen,social,blog,0.00
tg,social,codecamp,0.00
telegram,social,special-newyear23,0.00
telegram.me,social,printsipy-programmirovaniya-heksletahttp,0.00
public,social,open_lectures23,0.00
search.ukr.net,organic,,0.00
instagram,social,base-php,0.00
telegram,cpp,base-php,0.00
yandex-direct,cpc,"50088205",0.00
twitter,social,promo,0.00
vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,0.00
yandex-direct,cpc,"26593528",0.00
telegram,social,studenty-heksleta-inogda-rasstraivayutsya,0.00
Yandex,cpc,"80100720",0.00
twitter,social,hexlet-blog,0.00
vk-senler,cpc,dod-python-java,0.00
zen,social,prof-data-analytics,0.00
telegram,cpp,base-python,0.00
vk,social,base-php,0.00
twitter,social,grokaem_algoritmy,0.00
twitter,social,my-to--chto-my-skrollim-kak-programmistu,0.00
yandex-direct,cpc,"08062768",0.00
telegram,social,,0.00
instagram,social,taplink,0.00
vk,cpm,php,0.00
zen,social,all-courses,0.00
telegram,cpm,base,0.00
slack,social,hexlet,0.00
slack,social,base_alg,0.00
vk,cpc,yaintern,0.00
telegram,social,kak-gumanitariy-stal-bekend-razrabotchiko,0.00
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,0.00
twitter.com,social,istorii-uspeha-nashih-uchenikov-i-vypuskni,0.00
facebook.com,social,buffer,0.00
telegram.me,social,kakoy-yazyk-programmirovaniya-vybrat-dlya,0.00
twitter,social,how-to-sleep,0.00
telegram,cpm,frontend,0.00
vk,social,general,0.00
instagram,social,hexlet-blog,0.00
twitter,social,course_completed,0.00
telegram,social,analitik-dannyh,0.00
Yandex,cpc,"67469241",0.00
vk,social,"8-statey--kotorye-budut-polezny-novichku",0.00
zen,social,prof-frontend,0.00
admitad,cpc,"183258",0.00
telegram,social,svitch--ochen-prostaya-konstruktsiya--kotor,0.00
telegram,social,base,0.00
social,youtube,php-open-lesson-260321,0.00
twitter,social,v-kontse-yanvarya-praktika-heksleta-ne-rabo,0.00
telegram,social,ni-dlya-kogo-ne-sekret--chto-iz-knig-mozhno,0.00
Yandex,cpc,"81276251",0.00
vk,cpm,base_python,0.00
facebook,social,hexlet-blog,0.00
vk,social,base-frontend,0.00
telegram,social,uyazvimost-v-java-ugrozhaet-sotnyam-tysyach,0.00
zen,social,hexlet,0.00
Yandex,cpm,"84109871",0.00
botmother,tg,frontend,0.00
Yandex,cpc,"77386453",0.00
vk,social,prof-rails,0.00
google,cpc,freemium,0.00
Yandex,cpc,"39770358",0.00
Yandex,cpm,"25530592",0.00
vk,social,dod-professions,0.00
yandex-direct,cpc,"85838400",0.00
vk-senler,cpc,base-frontend,0.00
vk-senler,cpc,dod-php,0.00
Yandex,cpc,"67652027",0.00
podcast,social,unpack,0.00
twitter.com,social,chto-napisat-v-soprovoditelnom-pisme-i,0.00
vk,social,dod-java,0.00
instagram,social,base-python,0.00
vk,cpp,dod-python-java,0.00
telegram,cpp,prof-php,0.00
instagram,social,prof-backend,0.00
Yandex,cpc,"93234055",0.00
yandex-direct,cpc,"71522986",0.00
Yandex,cpc,"59988739",0.00
vk,social,dod-python-java,0.00
instagram,social,prof-qa,0.00
tg,social,hostel,0.00
instagram,social,prof-java,0.00
telegram,social,special,0.00
tg,social,newdirections,0.00
vk,social,dod-php,0.00
telegram,social,typescript,0.00
yandex-direct,cpc,"34668848",0.00
vk,social,prof-data-analyst,0.00
vk,cpm,base,0.00
vk.com,social,skolko-stoit-obuchenie-na-hekslete-dlya,0.00
telegram.me,social,voshozhdenie-po-beskonechnoy-lestnitse-abst,0.00
vk,cpp,intensive-python,0.00
instagram,social,prof-rails,0.00
Yandex,cpc,"87255026",0.00
vk,cpc,prof-php,0.00
facebook,social,how-to-sleep,0.00
telegram,social,navernyaka-vy-slyshali-mnenie--chto-podhod,0.00
telegram,social,nachinayuschie-razrabotchiki-chasto-zaglyadyvayu,0.00
partners,cpm,all,0.00
yandex-direct,cpc,"68583881",0.00
vk,social,prof-data-analytics,0.00
dzen,social,dzen-post,0.00
twitter,social,devushki_v_it,0.00
Yandex,cpc,"08409986",0.00
vk.com,social,na-hekslete-poyavilas-novaya-professiya-v,0.00
instagram,social,prof-frontend,0.00
yandex,cpc,dod-qa,0.00
vk,cpc,prof-qa,0.00
twitter,social,"9-marta-v-1930-po-moskovskomu-vremeni-p",0.00
telegram.me,social,na-hekslet-poyavilis-novye-ispytaniya-v-k,0.00
vk,social,course_completed,0.00
Yandex,cpm,"94599791",0.00
yandex-direct,cpm,"00788899",0.00
vk,social,promo,0.00
zen,social,promo,0.00
vk,cpm,prof-frontend,0.00
go.mail.ru,organic,,0.00
telegram.me,social,klassicheskaya-zadachka-fizzbuzz-na-hekslet,0.00
vk,cpc,java,0.00
telegram,social,webinars,0.00
vk,cpp,dod-career,0.00
telegram,cpp,dod-qa,0.00
telegram.me,social,kak-rabotaet-npm-install-i-npm-update-v,0.00
telegram,social,mdtrue*chtenie-chuzhogo-koda--odin-iz-o,0.00
twitter,social,oop-i-arhitektura-koda-kirill-mokevni,0.00
podcast,social,all-courses,0.00
vc,cpp,dod-qa,0.00
telegram,social,oshibki-pri-samostoyatelnoy-podgotovke-k-resheniyu-algoritmicheskih-zadach-na-intervyu,0.00
zen,social,prof-backend,0.00
admitad,cpc,"442763",0.00
Yandex,cpm,"01097402",0.00
vk,cpm,prof-python,0.00
facebook,cpc,freemium.ua-by,0.00
telegram.me,social,"7-tipichnyh-oshibok-imenovaniya-peremennyh",0.00
yandex.com,organic,,0.00
baidu.com,organic,,0.00
google,cpc,frontend,0.00
telegram,cpp,dod-data-analytics,0.00
instagram,social,all-courses,0.00
vk,social,hexlet.io/my,0.00
telegram,social,privet--menya-zovut-dasha--mne-26-let.-ya,0.00
Yandex,cpc,"74431025",0.00
yandex-direct,cpc,"51752512",0.00
twitter,social,all-courses,0.00
vk,social,open_lectures23,0.00
vk,cpm,java,0.00
twitter,social,"51-letniy-student-heksleta-dmitriy-rassk",0.00
