"source","medium","visitors_count"
google,organic,99223
organic,organic,31557
yandex,paid,18469
vk,paid,15741
telegram,paid,1644
admitad,paid,1417
bing.com,organic,938
tproger,paid,513
vk-senler,paid,491
timepad,paid,146
baidu.com,organic,73
zen,paid,69
yandex.com,organic,66
instagram,paid,58
twitter,paid,43
facebook,paid,39
Yandex,paid,24
yandex-direct,paid,17
vc,paid,17
go.mail.ru,organic,15
google,paid,13
dzen,paid,11
twitter.com,paid,8
search.ukr.net,organic,6
partners,paid,6
tg,paid,6
telegram.me,paid,5
vkontakte,paid,5
mytarget,paid,4
podcast,paid,4
slack,paid,3
social,paid,2
botmother,paid,2
facebook.com,paid,2
rutube,paid,2
vk.com,paid,2
vk-group,paid,1
telegram Ğ­Ñ‚Ğ¾Ñ‚ ĞºÑƒÑ€Ñ Ğ¿Ğ¾Ğ±ĞµĞ¶Ğ´Ñ‘Ğ½! ğŸ’ªğŸ’ªğŸ’ª Ğ‘Ñ‹Ğ»Ğ¾ ĞºÑ€ÑƒÑ‚Ğ¾! ğŸš€,paid,1
public,paid,1
zen_from_telegram,paid,1
