"source","visitors_count"
google,99236
organic,31557
yandex,18469
vk,15741
telegram,1644
admitad,1417
bing.com,938
tproger,513
vk-senler,491
timepad,146
baidu.com,73
zen,69
yandex.com,66
instagram,58
twitter,43
facebook,39
Yandex,24
yandex-direct,17
vc,17
go.mail.ru,15
dzen,11
twitter.com,8
partners,6
tg,6
search.ukr.net,6
vkontakte,5
telegram.me,5
podcast,4
mytarget,4
slack,3
social,2
botmother,2
facebook.com,2
rutube,2
vk.com,2
vk-group,1
telegram Ğ­Ñ‚Ğ¾Ñ‚ ĞºÑƒÑ€Ñ Ğ¿Ğ¾Ğ±ĞµĞ¶Ğ´Ñ‘Ğ½! ğŸ’ªğŸ’ªğŸ’ª Ğ‘Ñ‹Ğ»Ğ¾ ĞºÑ€ÑƒÑ‚Ğ¾! ğŸš€,1
public,1
zen_from_telegram,1
