"source","medium","campaign","week_of_june","visitors_count"
yandex.com,organic,,"3 неделя",18
vk,social,dod-professions,"3 неделя",18
vk,cpp,dod-python-java,"3 неделя",17
telegram,cpp,base-java,"3 неделя",15
vk,social,all-courses,"3 неделя",12
instagram,social,base-frontend,"3 неделя",10
vk,social,hexlet-blog,"3 неделя",9
vk-senler,cpc,dod-professions,"3 неделя",9
baidu.com,organic,,"3 неделя",9
telegram,cpp,base-python,"3 неделя",8
vk,social,general,"3 неделя",8
timepad,cpp,base-frontend,"3 неделя",8
vk,social,base-python,"3 неделя",8
instagram,social,prof-frontend,"3 неделя",8
vk,cpp,base-frontend,"3 неделя",7
telegram,cpp,prof-frontend,"3 неделя",7
telegram,social,course_completed,"3 неделя",6
instagram,social,prof-qa-auto,"3 неделя",6
vc,cpp,dod-professions,"3 неделя",5
vk,social,prof-python,"3 неделя",5
vk,cpp,dod-frontend,"3 неделя",5
go.mail.ru,organic,,"3 неделя",4
vk-senler,cpc,dod-frontend,"3 неделя",4
twitter,social,hexlet-blog,"3 неделя",4
zen,social,all-courses,"3 неделя",4
instagram,social,prof-data-analytics,"3 неделя",4
telegram,cpm,java,"3 неделя",4
telegram,cpp,dod-java,"3 неделя",4
vk,social,base-java,"3 неделя",4
instagram,social,prof-qa,"3 неделя",4
instagram,social,prof-backend,"3 неделя",4
twitter.com,social,istorii-uspeha-nashih-uchenikov-i-vypuskni,"3 неделя",4
instagram,social,prof-java,"3 неделя",4
telegram,social,promo,"3 неделя",3
facebook,social,hexlet-blog,"3 неделя",3
telegram,cpp,dod-frontend,"3 неделя",3
vk,social,base-frontend,"3 неделя",3
instagram,social,all-courses,"3 неделя",3
telegram,social,hexlet-blog,"3 неделя",3
instagram,social,prof-python,"3 неделя",3
instagram,social,hexlet-blog,"3 неделя",3
dzen,social,dzen-post,"3 неделя",3
vkontakte,social,button-vk,"3 неделя",2
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,"3 неделя",2
telegram,cpp,prof-data-analytics,"3 неделя",2
slack,social,hexlet,"3 неделя",2
twitter,social,promo,"3 неделя",2
instagram,social,prof-php,"3 неделя",2
telegram,cpm,frontend,"3 неделя",2
twitter,social,all-courses,"3 неделя",2
zen,social,hexlet,"3 неделя",2
dzen,social,dzen_post,"3 неделя",2
vk,cpm,base,"3 неделя",2
vk,cpc,frontend,"3 неделя",2
vk,cpc,yaintern,"3 неделя",2
vk,cpc,php,"3 неделя",2
instagram,social,prof-rails,"3 неделя",2
vk,cpc,prof-php,"3 неделя",2
zen,social,hexlet-blog,"3 неделя",2
vk,social,base-php,"3 неделя",1
telegram,social,kak-optimizirovat-tretiy-proekt-v-professii-python,"3 неделя",1
vk-group,cpc,dod-qa,"3 неделя",1
instagram,social,base-pyton,"3 неделя",1
instagram,social,base-python,"3 неделя",1
Yandex,cpc,"06892634","3 неделя",1
instagram,social,base-java,"3 неделя",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"3 неделя",1
telegram,social,kak-blagodarya-heksletu-ya-ustroilsya-v-epa,"3 неделя",1
vk.com,social,skolko-stoit-obuchenie-na-hekslete-dlya,"3 неделя",1
vk,social,promo,"3 неделя",1
instagram,social,prof-data-analyst,"3 неделя",1
instagram,social,prof-fullstack,"3 неделя",1
facebook,cpc,freemium,"3 неделя",1
yandex-direct,cpc,"97574364","3 неделя",1
vk,social,prof-data-analytics,"3 неделя",1
Yandex,cpc,"08409986","3 неделя",1
facebook,cpc,python,"3 неделя",1
yandex-direct,cpc,"85838400","3 неделя",1
vk,social,prof-data-analyst,"3 неделя",1
vk,cpc,freemium,"3 неделя",1
telegram,social,mdtruereshenie-zadach--horoshiy-sposob-z,"3 неделя",1
zen_from_telegram,social,,"3 неделя",1
twitter.com,social,buffer,"3 неделя",1
yandex-direct,cpc,"71522986","3 неделя",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,"3 неделя",1
telegram,cpp,prof-qa,"3 неделя",1
yandex-direct,cpc,"70989018","3 неделя",1
telegram,social,prof-qa,"3 неделя",1
Yandex,cpm,"14191988","3 неделя",1
Yandex,cpc,"74431025","3 неделя",1
telegram,social,webinars,"3 неделя",1
twitter,social,devushki_v_it,"3 неделя",1
Yandex,cpc,"81276251","3 неделя",1
Yandex,cpm,"84109871","3 неделя",1
twitter,social,v-kontse-yanvarya-praktika-heksleta-ne-rabo,"3 неделя",1
telegram,social,u-nas-chasto-sprashivayut--kakie-knigi-nuzhn,"3 неделя",1
yandex-direct,cpc,"50088205","3 неделя",1
admitad,cpa,"442763","3 неделя",1
telegram,social,special-newyear23,"3 неделя",1
twitter,social,v-etoy-statie-my-dadim-neskolko-sovetov,"3 неделя",1
yandex-direct,cpc,"26593528","3 неделя",1
vk,cpc,prof-qa,"3 неделя",1
Yandex,cpc,"77386453","3 неделя",1
twitter,social,grokaem_algoritmy,"3 неделя",1
zen,social,zen_post,"3 неделя",1
instagram,social,promo,"3 неделя",1
telegram,cpm,python,"3 неделя",1
telegram,social,base-frontend,"3 неделя",1
Yandex,cpc,"93234055","3 неделя",1
zen,social,prof-data-analyst,"3 неделя",1
vk,cpm,prof-python,"3 неделя",1
telegram,cpm,base_python,"3 неделя",1
vk,social,dod-python-java,"3 неделя",1
twitter,social,course_completed,"3 неделя",1
Yandex,cpc,"39770358","3 неделя",1
telegram,cpm,base_java,"3 неделя",1
twitter,social,my-poprosili-nastavnikov-heksleta-rasska,"3 неделя",1
Yandex,cpc,"52168119","3 неделя",1
vk,cpp,dod-professions,"3 неделя",1
admitad,cpc,"183258","3 неделя",1
vk,social,dod-frontend,"3 неделя",1
partners,cpm,all,"3 неделя",1
search.ukr.net,organic,,"3 неделя",1
vk,social,course_completed,"3 неделя",1
tg,social,hostel,"3 неделя",1
twitter,social,obuchenie-programmirovaniyu-v-30 -let-pod,"3 неделя",1
admitad,cpc,"442763","3 неделя",1
twitter,social,oop-i-arhitektura-koda-kirill-mokevni,"3 неделя",1
twitter,social,podrobno-rasskazyvaem--pochemu-pleysholde,"3 неделя",1
podcast,social,all-courses,"3 неделя",1
google,organic,,"4 неделя",28080
organic,organic,,"4 неделя",8357
yandex,cpc,freemium,"4 неделя",1708
yandex,cpc,prof-python,"4 неделя",1239
yandex,cpc,prof-frontend,"4 неделя",1139
yandex,cpc,prof-java,"4 неделя",902
admitad,cpa,admitad,"4 неделя",427
yandex,cpc,base-java,"4 неделя",418
yandex,cpc,base-python,"4 неделя",407
yandex,cpc,base-frontend,"4 неделя",315
yandex,cpc,prof-professions-brand,"4 неделя",303
bing.com,organic,,"4 неделя",228
yandex,cpc,prof-data-analytics,"4 неделя",225
telegram,social,hexlet-blog,"4 неделя",191
yandex,cpc,prof-professions-retarget,"4 неделя",186
yandex,cpc,dod-frontend,"4 неделя",139
vk,cpc,prof-python,"4 неделя",133
yandex,cpc,dod-professions,"4 неделя",122
telegram,cpp,base-python,"4 неделя",114
vk-senler,cpc,freemium,"4 неделя",91
vk,cpc,prof-java,"4 неделя",88
vk,cpc,freemium-frontend,"4 неделя",71
yandex,cpc,dod-python-java,"4 неделя",63
vk,cpc,prof-data-analytics,"4 неделя",62
telegram,cpp,prof-java,"4 неделя",59
yandex,cpc,dod-java,"4 неделя",52
vk,cpc,prof-frontend,"4 неделя",48
vk,cpc,base-python,"4 неделя",43
yandex,cpc,dod-php,"4 неделя",43
vk,cpc,freemium-python,"4 неделя",42
telegram,cpp,base-java,"4 неделя",40
yandex,cpc,dod-qa,"4 неделя",40
telegram,cpp,prof-python,"4 неделя",39
yandex,cpc,base-professions-retarget,"4 неделя",37
telegram,cpp,base-frontend,"4 неделя",36
vk,cpc,freemium-java,"4 неделя",22
yandex.com,organic,,"4 неделя",15
facebook,social,hexlet-blog,"4 неделя",14
vk,social,prof-python,"4 неделя",14
baidu.com,organic,,"4 неделя",13
vk,cpp,dod-python-java,"4 неделя",12
vk,social,all-courses,"4 неделя",11
vk,social,hexlet-blog,"4 неделя",11
telegram,social,dod-professions,"4 неделя",10
vk,social,base-python,"4 неделя",8
vk,cpp,base-java,"4 неделя",8
timepad,cpp,base-frontend,"4 неделя",7
telegram,cpp,prof-frontend,"4 неделя",6
telegram,social,course_completed,"4 неделя",5
vk,cpp,base-frontend,"4 неделя",4
twitter,social,hexlet-blog,"4 неделя",4
zen,social,hexlet,"4 неделя",4
vk,social,general,"4 неделя",4
dzen,social,dzen-post,"4 неделя",4
admitad,cpc,"183258","4 неделя",3
vk-senler,cpc,dod-frontend,"4 неделя",3
instagram,social,hexlet-blog,"4 неделя",3
zen,social,all-courses,"4 неделя",3
go.mail.ru,organic,,"4 неделя",3
vk,social,promo,"4 неделя",2
instagram,social,all-courses,"4 неделя",2
vk-senler,cpc,base-frontend,"4 неделя",2
search.ukr.net,organic,,"4 неделя",2
vk,social,course_completed,"4 неделя",2
partners,cpm,prof-data-analytics,"4 неделя",2
vk,social,base-java,"4 неделя",2
telegram,social,promo,"4 неделя",2
facebook,cpc,freemium,"4 неделя",2
instagram,social,prof-python,"4 неделя",2
vk,social,dod-python-java,"4 неделя",2
tg,social,hostel,"4 неделя",2
twitter,social,promo,"4 неделя",2
vk,social,"8-statey--kotorye-budut-polezny-novichku","4 неделя",1
twitter,social,"9-marta-v-1930-po-moskovskomu-vremeni-p","4 неделя",1
twitter,social,analitik-dannyh,"4 неделя",1
twitter,social,course_completed,"4 неделя",1
twitter,social,devushki_v_it,"4 неделя",1
twitter,social,grokaem_algoritmy,"4 неделя",1
telegram,social,base,"4 неделя",1
twitter,social,how-to-sleep,"4 неделя",1
telegram,social,all-courses,"4 неделя",1
telegram,social,"20-sovetov-dlya-buduschih-programmistov--ko","4 неделя",1
twitter,social,webinars,"4 неделя",1
telegram,cpp,prof-data-analytics,"4 неделя",1
telegram,cpp,dod-php,"4 неделя",1
Yandex,cpc,"73043444","4 неделя",1
telegram,cpp,dod-frontend,"4 неделя",1
zen,social,blog,"4 неделя",1
vk,cpc,python,"4 неделя",1
vk,cpc,yaintern,"4 неделя",1
telegram,cpm,java,"4 неделя",1
vk,cpm,java,"4 неделя",1
telegram,cpm,frontend,"4 неделя",1
telegram,cpm,base_python,"4 неделя",1
telegram,cpm,base_java,"4 неделя",1
Yandex,cpc,"67469241","4 неделя",1
telegram,cpm,base,"4 неделя",1
podcast,social,interview,"4 неделя",1
vk,social,base-frontend,"4 неделя",1
vk,social,base-html,"4 неделя",1
podcast,social,all-courses,"4 неделя",1
partners,cpm,prof-qa,"4 неделя",1
mytarget,cpc,retarget,"4 неделя",1
mytarget,cpc,freemium,"4 неделя",1
vk,social,dod-professions,"4 неделя",1
instagram,social,promo,"4 неделя",1
instagram,social,prof-qa-auto,"4 неделя",1
vk,social,matematika-ilnar,"4 неделя",1
vk,social,open_lectures23,"4 неделя",1
vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,"4 неделя",1
instagram,social,prof-php,"4 неделя",1
vk,social,prof-data-analyst,"4 неделя",1
instagram,social,prof-java,"4 неделя",1
instagram,social,prof-fullstack,"4 неделя",1
vk,social,prof-qa,"4 неделя",1
instagram,social,prof-frontend,"4 неделя",1
zen_from_telegram,social,,"4 неделя",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"4 неделя",1
vk-group,cpc,dod-qa,"4 неделя",1
vk-senler,cpc,base-python,"4 неделя",1
instagram,social,base-pyton,"4 неделя",1
vk-senler,cpc,dod-php,"4 неделя",1
vk-senler,cpc,dod-python-java,"4 неделя",1
vkontakte,social,button-vk,"4 неделя",1
facebook,cpm,freemium-en,"4 неделя",1
facebook,cpc,python,"4 неделя",1
dzen,social,dzen_post,"4 неделя",1
admitad,cpa,"442763","4 неделя",1
yandex-direct,cpc,"18177858","4 неделя",1
zen,social,prof-python,"4 неделя",1
yandex-direct,cpc,"26980930","4 неделя",1
telegram,social,studenty-heksleta-inogda-rasstraivayutsya,"4 неделя",1
telegram,social,uyazvimost-v-java-ugrozhaet-sotnyam-tysyach,"4 неделя",1
yandex-direct,cpc,"57063851","4 неделя",1
telegram,social,mdtruevyrazitelnyy-javascript--arh,"4 неделя",1
telegram.me,social,kakoy-yazyk-programmirovaniya-vybrat-dlya,"4 неделя",1
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,"4 неделя",1
google,organic,,"5 неделя (2 дня)",6611
organic,organic,,"5 неделя (2 дня)",2101
yandex,cpc,freemium,"5 неделя (2 дня)",427
yandex,cpc,prof-python,"5 неделя (2 дня)",373
yandex,cpc,prof-frontend,"5 неделя (2 дня)",314
yandex,cpc,prof-java,"5 неделя (2 дня)",247
yandex,cpc,base-python,"5 неделя (2 дня)",138
admitad,cpa,admitad,"5 неделя (2 дня)",127
yandex,cpc,base-java,"5 неделя (2 дня)",113
yandex,cpc,prof-professions-brand,"5 неделя (2 дня)",80
bing.com,organic,,"5 неделя (2 дня)",79
yandex,cpc,base-frontend,"5 неделя (2 дня)",72
yandex,cpc,prof-data-analytics,"5 неделя (2 дня)",66
vk-senler,cpc,base-python,"5 неделя (2 дня)",61
telegram,cpp,base-python,"5 неделя (2 дня)",56
yandex,cpc,prof-professions-retarget,"5 неделя (2 дня)",44
yandex,cpc,dod-frontend,"5 неделя (2 дня)",38
telegram,cpp,base-java,"5 неделя (2 дня)",38
vk-senler,cpc,freemium,"5 неделя (2 дня)",36
telegram,social,hexlet-blog,"5 неделя (2 дня)",32
vk,cpc,freemium-frontend,"5 неделя (2 дня)",28
yandex,cpc,dod-professions,"5 неделя (2 дня)",26
vk,cpc,prof-java,"5 неделя (2 дня)",22
telegram,cpp,prof-java,"5 неделя (2 дня)",21
vk,cpc,prof-python,"5 неделя (2 дня)",20
yandex,cpc,dod-java,"5 неделя (2 дня)",19
yandex,cpc,dod-python-java,"5 неделя (2 дня)",19
telegram,cpp,base-frontend,"5 неделя (2 дня)",18
vk,cpc,freemium-python,"5 неделя (2 дня)",18
vk,cpc,prof-frontend,"5 неделя (2 дня)",17
vk,social,base-frontend,"5 неделя (2 дня)",12
telegram,cpp,prof-python,"5 неделя (2 дня)",11
vk,social,base-python,"5 неделя (2 дня)",10
vk,cpp,base-java,"5 неделя (2 дня)",10
yandex,cpc,dod-qa,"5 неделя (2 дня)",10
telegram,cpp,dod-qa,"5 неделя (2 дня)",9
yandex,cpc,dod-php,"5 неделя (2 дня)",9
vk,social,base-java,"5 неделя (2 дня)",8
yandex,cpc,base-professions-retarget,"5 неделя (2 дня)",7
vk,cpc,freemium-java,"5 неделя (2 дня)",6
vk,cpc,base-python,"5 неделя (2 дня)",6
vk,social,general,"5 неделя (2 дня)",6
yandex.com,organic,,"5 неделя (2 дня)",4
vk,cpp,intensive-python,"5 неделя (2 дня)",3
facebook,social,hexlet-blog,"5 неделя (2 дня)",3
vk,social,all-courses,"5 неделя (2 дня)",3
telegram,social,promo,"5 неделя (2 дня)",2
telegram,social,dod-professions,"5 неделя (2 дня)",2
vc,cpp,dod-qa,"5 неделя (2 дня)",2
vk,social,hexlet,"5 неделя (2 дня)",2
vk,social,prof-python,"5 неделя (2 дня)",2
vk,cpp,base-frontend,"5 неделя (2 дня)",2
twitter,social,promo,"5 неделя (2 дня)",2
telegram,cpp,dod-frontend,"5 неделя (2 дня)",1
instagram,social,prof-python,"5 неделя (2 дня)",1
telegram,cpp,dod-java,"5 неделя (2 дня)",1
vk,social,prof-data-analyst,"5 неделя (2 дня)",1
telegram,social,ni-dlya-kogo-ne-sekret--chto-iz-knig-mozhno,"5 неделя (2 дня)",1
telegram,social,course_completed,"5 неделя (2 дня)",1
vk,cpc,freemium,"5 неделя (2 дня)",1
telegram,cpp,prof-frontend,"5 неделя (2 дня)",1
timepad,cpp,base-frontend,"5 неделя (2 дня)",1
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,"5 неделя (2 дня)",1
vk,social,unpack,"5 неделя (2 дня)",1
instagram,social,hexlet-blog,"5 неделя (2 дня)",1
facebook,cpc,freemium,"5 неделя (2 дня)",1
facebook,cpm,freemium-en,"5 неделя (2 дня)",1
zen,social,prof-frontend,"5 неделя (2 дня)",1
vkontakte,social,button-vk,"5 неделя (2 дня)",1
vk-senler,cpc,dod-frontend,"5 неделя (2 дня)",1
go.mail.ru,organic,,"5 неделя (2 дня)",1
telegram,cpm,base,"5 неделя (2 дня)",1
vk,cpp,dod-qa,"5 неделя (2 дня)",1
social,youtube,php-open-lesson-260321,"5 неделя (2 дня)",1
vk,cpc,yaintern,"5 неделя (2 дня)",1
rutube,social,all-courses,"5 неделя (2 дня)",1
admitad,cpc,"183258","5 неделя (2 дня)",1
partners,cpm,prof-data-analytics,"5 неделя (2 дня)",1
twitter.com,social,chto-napisat-v-soprovoditelnom-pisme-i,"5 неделя (2 дня)",1
admitad,cpc,"442763","5 неделя (2 дня)",1
partners,cpm,all,"5 неделя (2 дня)",1
telegram,social,analitik-dannyh,"5 неделя (2 дня)",1
baidu.com,organic,,"5 неделя (2 дня)",1
twitter,social,hexlet-blog,"5 неделя (2 дня)",1
vk,cpc,prof-data-analytics,"5 неделя (2 дня)",1
telegram,cpp,dod-data-analytics,"5 неделя (2 дня)",1
vk,cpc,frontend,"5 неделя (2 дня)",1
tg,social,internship_summer23,"5 неделя (2 дня)",1
